spec,item,status,evidence
10 F25,deterministic realism arm,GATED - NOT TRIGGERED,generated only if 9 triggered
10 F26,candidate geometry raw vs residualized,COMPLETE,
10 F27,"map validation, homogeneous reference and empirical geometry",BLOCKED,requires FJ transmission results
10 F28,final summary panel,COMPLETE,
11 G1,Gate 1 calibration pool reported before any DPO run,COMPLETE,"M = 3, C5 PASS, 259 training pairs"
11 G2,Gate 2 final holdout constructed and frozen after Gate 1,COMPLETE,
11 G3,Gate 3 pre-registration written and verified,COMPLETE,
11 G4,Gate 4 stochastic real-RM arms reported together,COMPLETE,"successes 1/3, required 2"
11 G5,Gate 5 CTRL and FJ,BLOCKED,
11 G6,Gate 6 deterministic realism,GATED - NOT TRIGGERED,
11 G7,Gate 7 map validation with a single sigma only if 5.7 passed,BLOCKED,
11 G8,Gate 8 completion audit,COMPLETE,this table
13,"no threshold, pool, rule, hyperparameter, seed count or data change after any result",COMPLETE,the only deviations are the two pre-freeze corrections declared in Gate 3
13,"no extra experiments, seeds, data, candidates or checkpoint selection",COMPLETE,none introduced
12.2,"raw success + residualized failure reported as length-mediated, not hidden",COMPLETE,"gpt2-harmless: raw SUCCESS, residualized FAIL -> reported as materially length-mediated"
12.3,"raw failure not reversed by residualized success, a secondary rule, an earlier checkpoint, a different subset, a relaxed p or a changed Lambda threshold",COMPLETE,OA-deberta residualized recovers the true teacher at p = 0.052; the raw verdict stands
12.4,high train accuracy with weak held-out transmission read as a generalization/data-coverage issue; no data added,COMPLETE,train_acc 0.97 against near-zero held-out transmission; no data generated
12.5,low-train-accuracy branch,NOT APPLICABLE,"final train_acc 0.97 >> the 0.60 standing threshold, so this branch does not apply"
12.6,transmission still rising at checkpoint 16 not called converged,NOT APPLICABLE,transmission DECAYS after an early peak rather than rising; 5.7 not reached (FJ blocked)
